id,dataset,question,gold_sql,pred_sql_raw,pred_sql_norm,em,ex,valid_sql,latency_ms,error
flight_1_1,flight_1,How many aircrafts do we have?,SELECT count(*) FROM Aircraft,SELECT count(*) FROM Aircraft;,SELECT COUNT(*) FROM Aircraft,1,1,1,1247.96,
flight_1_2,flight_1,How many aircrafts exist in the database?,SELECT count(*) FROM Aircraft,SELECT count(*) FROM Aircraft;,SELECT COUNT(*) FROM Aircraft,1,1,1,1262.06,
flight_1_3,flight_1,Show name and distance for all aircrafts.,"SELECT name ,  distance FROM Aircraft","SELECT name, distance FROM Aircraft;","SELECT name, distance FROM Aircraft",1,1,1,2035.26,
flight_1_4,flight_1,What are the names and distances for all airplanes?,"SELECT name ,  distance FROM Aircraft","SELECT name, distance FROM Aircraft;","SELECT name, distance FROM Aircraft",1,1,1,1011.88,
flight_1_5,flight_1,Show ids for all aircrafts with more than 1000 distance.,SELECT aid FROM Aircraft WHERE distance  >  1000,SELECT aid FROM Aircraft WHERE distance > 1000;,SELECT aid FROM Aircraft WHERE distance > 1000,1,1,1,2432.77,
flight_1_6,flight_1,What are the ids of all aircrafts that can cover a distance of more than 1000?,SELECT aid FROM Aircraft WHERE distance  >  1000,SELECT aid FROM Aircraft WHERE distance > 1000;,SELECT aid FROM Aircraft WHERE distance > 1000,1,1,1,2504.71,
flight_1_7,flight_1,How many aircrafts have distance between 1000 and 5000?,SELECT count(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000,SELECT count(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000;,SELECT COUNT(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000,1,1,1,2175.38,
flight_1_8,flight_1,What is the count of aircrafts that have a distance between 1000 and 5000?,SELECT count(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000,SELECT count(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000;,SELECT COUNT(*) FROM Aircraft WHERE distance BETWEEN 1000 AND 5000,1,1,1,2180.5,
flight_1_9,flight_1,What is the name and distance for aircraft with id 12?,"SELECT name ,  distance FROM Aircraft WHERE aid  =  12","SELECT name, distance FROM Aircraft WHERE aid = 12;","SELECT name, distance FROM Aircraft WHERE aid = 12",1,1,1,1488.75,
flight_1_10,flight_1,What is the name and distance for the aircraft that has an id of 12?,"SELECT name ,  distance FROM Aircraft WHERE aid  =  12","SELECT name, distance FROM Aircraft WHERE aid = 12;","SELECT name, distance FROM Aircraft WHERE aid = 12",1,1,1,4030.87,
flight_1_11,flight_1,"What is the minimum, average, and maximum distance of all aircrafts.","SELECT min(distance) ,  avg(distance) ,  max(distance) FROM Aircraft","SELECT min(distance), avg(distance), max(distance) FROM Aircraft;","SELECT MIN(distance), AVG(distance), MAX(distance) FROM Aircraft",1,1,1,2627.85,
flight_1_12,flight_1,"Return the minimum, average and maximum distances traveled across all aircrafts.","SELECT min(distance) ,  avg(distance) ,  max(distance) FROM Aircraft","SELECT min(distance), avg(distance), max(distance) FROM Aircraft;","SELECT MIN(distance), AVG(distance), MAX(distance) FROM Aircraft",1,1,1,2612.9,
